"Year","StateAbbr","StateDesc","CountyName","CountyFIPS","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","DC","District of Columbia","District of Columbia","11001","11001009400","BRFSS","Health Outcomes","High cholesterol among adults who have ever been screened","%","Crude prevalence","36.8",,,"32.6","41.3","4,424","3,564","POINT (-76.9742464 38.9368061)","11001009400","HLTHOUT","HIGHCHOL","CrdPrv","High Cholesterol"
"2023","DC","District of Columbia","District of Columbia","11001","11001006804","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Crude prevalence","23.3",,,"16.9","29.7","2,429","2,413","POINT (-76.9704836 38.8863842)","11001006804","PREVENT","ACCESS2","CrdPrv","Health Insurance"
"2023","DC","District of Columbia","District of Columbia","11001","11001004002","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Crude prevalence","4.6",,,"3.7","6.5","3,291","3,095","POINT (-77.0437209 38.9181186)","11001004002","RISKBEH","CSMOKING","CrdPrv","Current Cigarette Smoking"
"2023","DC","District of Columbia","District of Columbia","11001","11001001303","BRFSS","Disability","Self-care disability among adults","%","Crude prevalence","1.9",,,"1.7","2.2","3,763","3,449","POINT (-77.0589323 38.9446266)","11001001303","DISABLT","SELFCARE","CrdPrv","Self-care Disability"
"2023","DC","District of Columbia","District of Columbia","11001","11001009203","BRFSS","Prevention","Cholesterol screening among adults","%","Crude prevalence","89.1",,,"87.0","91.1","2,775","2,389","POINT (-77.0054956 38.9219735)","11001009203","PREVENT","CHOLSCREEN","CrdPrv","Cholesterol Screening"
"2023","DC","District of Columbia","District of Columbia","11001","11001003701","BRFSS","Health-Related Social Needs","Housing insecurity in the past 12 months among adults","%","Crude prevalence","9.0",,,"7.2","11.2","2,916","2,536","POINT (-77.0342887 38.9214487)","11001003701","SOCLNEED","HOUSINSECU","CrdPrv","Housing Insecurity"
"2022","DC","District of Columbia","District of Columbia","11001","11001005602","BRFSS","Health Outcomes","All teeth lost among adults aged >=65 years","%","Crude prevalence","7.5",,,"6.1","9.0","4,100","3,946","POINT (-77.0554558 38.8988888)","11001005602","HLTHOUT","TEETHLOST","CrdPrv","All Teeth Lost"
"2023","DC","District of Columbia","District of Columbia","11001","11001009000","BRFSS","Health-Related Social Needs","Lack of reliable transportation in the past 12 months among adults","%","Crude prevalence","9.5",,,"7.9","11.3","4,676","3,764","POINT (-76.9545101 38.9226934)","11001009000","SOCLNEED","LACKTRPT","CrdPrv","Transportation Barriers"
"2023","DC","District of Columbia","District of Columbia","11001","11001007401","BRFSS","Health-Related Social Needs","Lack of reliable transportation in the past 12 months among adults","%","Crude prevalence","26.8",,,"22.8","31.1","1,259","868","POINT (-76.9991203 38.8675208)","11001007401","SOCLNEED","LACKTRPT","CrdPrv","Transportation Barriers"
"2023","DC","District of Columbia","District of Columbia","11001","11001008702","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Crude prevalence","6.8",,,"5.3","8.7","3,574","3,181","POINT (-77.0013085 38.9150961)","11001008702","RISKBEH","CSMOKING","CrdPrv","Current Cigarette Smoking"
"2023","DC","District of Columbia","District of Columbia","11001","11001006400","BRFSS","Disability","Self-care disability among adults","%","Crude prevalence","5.9",,,"4.8","7.0","2,481","2,042","POINT (-77.0114342 38.8688572)","11001006400","DISABLT","SELFCARE","CrdPrv","Self-care Disability"
"2023","DC","District of Columbia","District of Columbia","11001","11001000803","BRFSS","Health Status","Frequent physical distress among adults","%","Crude prevalence","8.0",,,"7.0","9.2","3,174","2,864","POINT (-77.0835217 38.9336425)","11001000803","HLTHSTAT","PHLTH","CrdPrv","Frequent Physical Distress"
"2023","DC","District of Columbia","District of Columbia","11001","11001009602","BRFSS","Health-Related Social Needs","Housing insecurity in the past 12 months among adults","%","Crude prevalence","38.8",,,"32.5","44.9","4,481","3,090","POINT (-76.9523616 38.9035769)","11001009602","SOCLNEED","HOUSINSECU","CrdPrv","Housing Insecurity"
"2022","DC","District of Columbia","District of Columbia","11001","11001005202","BRFSS","Health Outcomes","All teeth lost among adults aged >=65 years","%","Crude prevalence","5.4",,,"4.4","6.5","3,408","3,167","POINT (-77.0344946 38.911127)","11001005202","HLTHOUT","TEETHLOST","CrdPrv","All Teeth Lost"
"2022","DC","District of Columbia","District of Columbia","11001","11001004600","BRFSS","Prevention","Colorectal cancer screening among adults aged 45–75 years","%","Crude prevalence","73.4",,,"69.4","77.2","3,543","3,101","POINT (-77.0133001 38.9097456)","11001004600","PREVENT","COLON_SCREEN","CrdPrv","Colorectal Cancer Screening"
"2023","DC","District of Columbia","District of Columbia","11001","11001007604","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Crude prevalence","6.8",,,"5.1","9.0","3,803","3,083","POINT (-76.9638007 38.8660921)","11001007604","PREVENT","ACCESS2","CrdPrv","Health Insurance"
"2023","DC","District of Columbia","District of Columbia","11001","11001005302","BRFSS","Prevention","Taking medicine to control high blood pressure among adults with high blood pressure","%","Crude prevalence","61.6",,,"58.1","65.1","2,518","2,339","POINT (-77.0386443 38.9124517)","11001005302","PREVENT","BPMED","CrdPrv","High Blood Pressure Medication"
"2023","DC","District of Columbia","District of Columbia","11001","11001010400","BRFSS","Disability","Cognitive disability among adults","%","Crude prevalence","15.5",,,"13.0","18.1","4,616","3,616","POINT (-77.0009082 38.8512668)","11001010400","DISABLT","COGNITION","CrdPrv","Cognitive Disability"
"2023","DC","District of Columbia","District of Columbia","11001","11001010800","BRFSS","Disability","Any disability among adults","%","Crude prevalence","27.8",,,"23.1","32.6","6,879","6,779","POINT (-77.044612 38.8973521)","11001010800","DISABLT","DISABILITY","CrdPrv","Any Disability"
"2023","DC","District of Columbia","District of Columbia","11001","11001009804","BRFSS","Disability","Self-care disability among adults","%","Crude prevalence","6.6",,,"5.6","7.8","2,517","1,872","POINT (-76.997258 38.8420148)","11001009804","DISABLT","SELFCARE","CrdPrv","Self-care Disability"
"2023","DC","District of Columbia","District of Columbia","11001","11001011100","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","23.9",,,"20.9","27.1","5,903","4,361","POINT (-76.9681631 38.9158612)","11001011100","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis"
"2022","DC","District of Columbia","District of Columbia","11001","11001010603","BRFSS","Prevention","Visited dentist or dental clinic in the past year among adults","%","Crude prevalence","78.9",,,"75.1","82.2","3,068","2,990","POINT (-77.0063567 38.9011144)","11001010603","PREVENT","DENTAL","CrdPrv","Dental Visit"
